gyroscope-x,gyroscope-y,gyroscope-z,accelorometer-x,accelorometer-y,accelorometer-z,resultant-g,label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-31.18,21.4,77.37,-0.32,0.15,0.93,0.99,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.06,76.39,-211.17,0.08,-1.17,0.86,1.45,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-37.83,13.88,173.83,-0.36,0.47,0.94,1.12,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.58,82.29,-214.67,0.1,-1.04,0.76,1.29,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-30.55,27.81,146.59,-0.33,0.28,0.95,1.05,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.3,52.58,-59.24,0.84,-1.51,0.53,1.81,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.14,157.86,-13.95,0.01,-0.04,0.94,0.94,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.92,-24.43,-56.48,-0.65,-0.17,0.93,1.15,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.28,-2.05,-0.8,-0.69,-0.91,0.86,1.43,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.35,-2.12,-1.12,-0.69,-0.92,0.86,1.44,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.33,-2.12,-1.27,-0.69,-0.92,0.86,1.44,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.05,-2.16,1.53,-0.68,-0.9,0.87,1.43,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.31,-2.13,-1.48,-0.69,-0.92,0.86,1.44,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.04,0.02,-0.37,0,0,1,1,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.44,0.31,-0.21,0,0,1,1,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.66,6.14,15.49,-0.11,0.35,0.92,0.99,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.91,1.34,94.21,0.26,0.82,1.24,1.5,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.17,16.65,-13.54,0.68,0.91,1.1,1.58,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-31.18,68.92,-248.42,0.09,0.51,1.06,1.18,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.15,-4.72,163.41,0.25,1.11,1.09,1.57,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.65,15.54,-235.3,0.64,0,0.98,1.17,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.46,-31.9,78.18,0.42,1.14,1.04,1.6,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.94,-61.5,135.5,0.94,-0.68,0.87,1.45,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.36,25.29,-19.36,0.43,0.92,1.05,1.46,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.81,-37.19,150.43,0.96,-0.59,0.87,1.42,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.35,13.03,-120.97,0.26,1.15,1.07,1.59,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.31,-26.04,228.17,-0.11,0.62,1.06,1.23,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16.29,64.9,-248.42,-0.04,1,1.12,1.51,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.77,-16.61,214.02,0.02,1.19,1.13,1.65,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-35.88,43.84,-248.42,0.53,0.21,1.05,1.19,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-13.63,-9.83,163.27,0.36,1.22,1.07,1.66,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18.22,4.74,-232.19,0.56,0.09,1.01,1.16,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.32,2.23,155.02,0.43,1.31,1.11,1.77,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-12.67,1.63,-173.6,1,-0.28,0.85,1.34,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.05,-28.2,59.04,0.53,0.92,1.13,1.55,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-37.03,3.94,140.65,0.79,-0.49,0.88,1.28,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.64,-2.08,-160.76,0.13,1.22,1.15,1.68,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.86,-9.75,181.85,0.09,0.92,1.14,1.47,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.62,38.5,-248.42,0.12,0.48,1.12,1.22,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.81,-28.96,183.06,0.68,-0.31,0.9,1.17,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.24,49.1,-64.8,0.43,0.98,1.04,1.49,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.88,-19.55,215.36,0.39,0.1,0.98,1.06,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-55.58,15.85,-248.42,0.08,1.22,1.33,1.81,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.69,2.28,119.67,0.48,1.07,1.12,1.62,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.13,16.74,-162.87,1.17,-0.31,0.8,1.45,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.32,-30.24,31.08,0.4,0.95,1.07,1.49,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.62,-54.76,151.56,0.96,-0.58,0.75,1.35,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.5,46.22,-72.11,0.44,1.03,1.1,1.57,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-12.92,-52.14,251.57,0.06,0.59,0.95,1.12,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.92,36.13,-248.42,0.17,0.68,1.19,1.38,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-14.16,-11.9,170.21,0.07,1.11,1.13,1.59,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.05,68.39,-248.42,0.21,0.31,0.95,1.02,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.71,4.02,178.25,0.41,1.3,1.24,1.85,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.11,85.77,-169.07,0.91,-0.4,0.76,1.25,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-31.51,-16.33,86.23,0.46,1.22,1.03,1.67,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.71,-7.08,-124.54,1.19,-0.6,0.75,1.53,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-22.7,-49.56,16.13,0.48,0.9,1.03,1.45,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.96,-30.97,53.28,1.39,-0.83,0.59,1.72,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.52,-7.93,-30.82,0.49,0.93,1.03,1.47,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-13.64,-32.01,159.88,0.91,-0.54,0.73,1.29,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.71,16.59,-57.62,0.52,0.96,1.18,1.6,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.86,-78.82,205.81,0.71,-0.34,0.87,1.17,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.97,24.66,-227.9,0.02,1.64,1.19,2.03,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-37.85,-46.81,207.55,-0.02,0.7,1,1.22,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.81,7.2,-248.42,0.01,1.38,1.21,1.84,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.36,-72.06,151.07,0.27,1.01,1.11,1.53,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.88,76.22,-248.42,0.47,0.16,0.99,1.11,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17.44,-14.37,98.08,0.45,1.08,1.12,1.62,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.18,19.29,-74.43,1.66,-0.62,0.78,1.93,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.73,0.24,39.47,0.58,0.87,1.1,1.52,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.33,-33.08,201.64,0.9,-0.24,0.91,1.3,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.08,66.86,-73.66,0.38,1.03,1.2,1.62,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.86,10.44,26.75,0.22,0.67,1.03,1.25,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9.43,-14.45,26.27,0.47,0.75,1.02,1.35,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-25.58,-16.53,-26.61,0.05,0.39,1.07,1.14,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.33,8.32,-12.03,0.15,0.38,1,1.08,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.68,11.52,-87.68,-0.02,0.29,0.76,0.81,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.99,16.78,16.83,-0.12,0.13,1.27,1.28,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.42,52.33,-33.57,0.44,0.32,0.78,0.95,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.87,-23.76,14.56,-0.15,0.39,1.06,1.14,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.05,47.08,25.7,0.54,0.55,0.72,1.06,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.66,18.19,17.73,-0.25,0.2,1.08,1.13,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-14.68,62.21,-35.93,0.1,0.36,0.65,0.75,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.21,-7.81,-3.4,-0.18,0.07,1.28,1.3,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17.23,76.67,-11.97,0.2,0.49,0.68,0.86,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.38,-45.95,-0.6,-0.13,0.5,0.97,1.09,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18.96,6.2,-71.31,0.1,0.39,0.71,0.81,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.34,3.84,31.97,-0.05,0.42,1.06,1.14,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.61,30.34,-33.23,-0.13,0.45,0.65,0.8,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-45.47,-22.49,2.29,-0.07,0.41,1.08,1.16,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.43,-0.51,-0.17,-0.29,0.41,0.61,0.79,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.55,-15.15,19.16,-0.04,0.29,1.11,1.15,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9.92,-5.05,-34.38,-0.21,0.4,0.7,0.83,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.49,-6.95,-3.61,-0.02,0.49,1.09,1.19,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-12.96,-65.9,-22.34,-0.32,0.17,0.69,0.79,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.77,24.75,30.78,-0.06,0.4,1.07,1.15,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.78,-74.25,0.3,0.06,0.3,1.02,1.07,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.49,0.47,-2.73,-0.19,0.31,0.95,1.01,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.83,-98.11,12.2,0.06,0.54,0.8,0.97,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.4,35.77,21.35,-0.23,0.49,0.93,1.08,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-33.75,-11.89,39.17,0.19,0.43,1.03,1.13,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-28.12,1.19,0.03,-0.22,0.31,1,1.07,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.4,-13.72,-1.51,0.29,0.1,0.89,0.94,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-35.77,4.34,34.72,-0.48,0.33,1.14,1.28,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.05,-24.47,-17.36,0.51,0.09,0.97,1.1,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-47.52,-14.19,12.74,-0.49,0.46,1.2,1.37,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.39,-50.79,-62.36,-0.05,0.45,0.85,0.96,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-85.32,-31.05,25.3,-0.32,0.23,1.3,1.36,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16.82,-42.12,-41.54,0.3,0.2,1.04,1.1,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-104.32,-70.58,33.2,-0.31,0.03,1.44,1.47,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.84,-78.39,-70.6,0.1,0.18,0.88,0.9,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-24.91,65.44,37.7,0.26,0.32,0.86,0.96,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17.82,-6.33,-13.47,-0.22,0.09,1.13,1.16,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.09,27.31,93.34,0.82,0.21,0.79,1.15,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-31.15,4.79,10.24,-0.32,0.1,1.06,1.11,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.77,65.27,50.5,0.74,0.28,0.78,1.12,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.93,45.33,44.67,-0.27,0.03,1.04,1.07,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3,78.84,-15.12,0.44,0.44,0.58,0.85,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.33,-80.85,10.34,0.05,0.15,1.25,1.26,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.51,-7.22,-67.43,-0.18,0.17,0.78,0.82,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-47.35,20.83,-11.85,-0.19,0.29,1.2,1.25,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.34,-29.38,1.23,-0.01,0.26,1.05,1.09,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-22.5,-13.21,-0.82,-0.21,0.38,0.89,0.99,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-33.81,1.84,13.59,0.11,0.51,0.81,0.97,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.89,-16.83,14.85,-0.41,0.19,1.11,1.2,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-40.67,-16.56,-10.64,0.21,0.13,0.75,0.79,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15.3,1.84,36.11,0.01,0.3,0.92,0.97,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.89,23.25,-50.6,0.47,0.34,1,1.15,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.88,-60.77,62.59,-0.2,0.29,0.63,0.72,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.78,30.8,18.94,-0.05,0.13,0.99,1,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.82,-20.17,-9.48,-0.21,0.46,0.97,1.1,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-49.5,70.44,19.34,0.16,0.35,0.97,1.04,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-14.61,-21.25,31.63,-0.48,0.5,0.91,1.15,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.63,27.12,12.21,-0.59,0.26,0.61,0.89,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17.33,-42.03,4.86,-0.21,0.33,1.01,1.08,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.61,-14.29,18.13,-0.14,0.59,1.18,1.33,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.12,-27.2,-44.07,0.41,0.18,1.2,1.28,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.93,20.84,-12.76,-0.2,0.58,1.16,1.31,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.62,-34.86,35.45,0.64,0.4,1.11,1.35,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-28.16,23.63,11.14,-0.43,0.46,0.9,1.1,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9.2,66.5,14.43,0.48,0.31,0.95,1.11,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6,-17.37,-8.49,-0.58,0.38,0.81,1.07,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.76,12.44,14.78,-0.43,0.31,0.93,1.07,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.5,-44.84,28.25,0.38,0.37,1.32,1.42,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.32,-10.33,11.15,-0.22,0.28,1.03,1.09,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.77,21.44,-7.98,-0.04,0.24,0.97,1,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.74,-20.71,7.95,-0.3,0.43,1.11,1.23,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-55.85,67.12,6.23,-0.17,0.29,1.04,1.09,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-36.54,11.6,18.73,-0.49,0.44,0.83,1.06,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.54,15.82,-13.63,0.02,0.44,1.18,1.25,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.47,17.82,-22.95,-0.33,0.4,1.22,1.32,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-11.28,48.04,23.12,0.64,0.25,1.09,1.29,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.4,21.18,-13.29,-0.37,0.64,1.17,1.38,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-52.46,116.84,15.32,-0.04,0.32,0.92,0.98,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.45,77.07,-19.67,-0.64,0.39,1.11,1.34,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-53.04,13.91,44.55,-0.07,0.06,1.23,1.24,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.51,8.19,-18,-0.68,0.48,1,1.3,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-30.6,-2.04,3.23,-0.81,0.24,0.83,1.19,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-14.29,15.41,-7.33,-0.41,0.45,0.97,1.15,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.51,-52.45,21.6,-0.6,0.27,1.06,1.24,Shoulder-press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
