gyroscope-x,gyroscope-y,gyroscope-z,accelorometer-x,accelorometer-y,accelorometer-z,resultant-g,label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.18,59.67,90.74,0.52,-0.66,1.5,1.71,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.31,10.35,-7.16,0.76,0.74,0.94,1.42,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.43,17.08,58.75,0.66,-0.99,1.58,1.98,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.76,9.57,-62.52,0.64,0.83,0.93,1.41,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-13.06,8.34,100.43,0.56,-0.88,1.57,1.89,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.3,-14.13,-61.79,0.68,0.86,0.91,1.43,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-30.69,1.82,114.85,0.48,-0.79,1.46,1.73,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9.68,-21.58,-171.92,0.71,1.19,0.87,1.64,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.77,-3.97,186.69,0.54,-0.62,1.27,1.51,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-14.25,14.72,-199.2,0.43,1.3,0.89,1.63,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.47,40.08,158.44,0.47,-0.36,1.26,1.4,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.28,-65.16,-212.7,0.21,1.25,0.81,1.51,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.06,71.75,175.01,0.15,0.57,1.03,1.19,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.08,53.73,-4.96,0.83,0.63,0.8,1.32,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.85,-104.23,-196.76,0.75,0,1.17,1.39,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.21,59.46,133.48,0.66,1.01,0.84,1.47,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15.23,-31.38,-43.48,0.79,-1.06,1.59,2.07,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.31,38.78,7.82,0.61,0.84,0.92,1.39,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.47,-13.57,88.39,0.64,-0.96,1.57,1.95,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.69,-9.22,-28.25,0.53,0.82,0.87,1.31,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.52,33.64,139.16,0.46,-0.53,1.35,1.52,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-11.16,-12.73,-254.83,0.41,1.51,0.84,1.77,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.26,46.41,142.38,0.09,0.51,1.07,1.19,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.81,-85.82,-244.85,0.22,0.91,0.79,1.22,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.25,51.57,172.79,0.17,0.62,1.09,1.26,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.79,-134.71,-255.66,0.11,0.69,0.85,1.11,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.46,83.85,165.7,0.01,0.84,0.86,1.2,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-14.06,-147,-255.66,0.36,0.54,0.91,1.12,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.68,51.86,235.32,0.38,1.13,0.88,1.48,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.65,-161.96,-238.8,0.42,0.54,0.94,1.16,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.71,24.22,173.57,0.38,0.95,0.9,1.37,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.92,-115.09,-202.33,0.5,-0.02,1.17,1.27,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.12,50.66,203.22,0.41,1.15,0.8,1.46,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.77,-44.17,-190.75,0.43,-0.65,1.33,1.54,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.68,40.63,155.31,0.55,1,0.88,1.44,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18.44,-65.51,-108.53,0.97,-0.98,1.47,2.02,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.91,14.05,37.39,0.79,0.74,0.88,1.4,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.58,-24.25,-57.55,0.87,-1.13,1.58,2.13,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.62,15.08,1.37,0.65,0.72,0.93,1.34,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.88,3.81,-29.73,0.14,0.21,0.97,1.01,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.05,8.42,-13.29,0.02,0.12,1.09,1.1,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.66,1.07,-8.58,-0.03,0,1,1,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.36,-0.03,-222.34,-0.29,-0.79,0.73,1.12,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.39,-0.66,93.91,-0.27,0.1,0.92,0.97,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.63,30.49,22.15,0.52,-1.79,0.61,1.96,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.89,-10.25,47.77,-0.29,-0.05,0.94,0.99,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.39,-19.1,96.14,0.17,-1.6,0.63,1.73,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9.45,51.29,-43.32,-0.31,0.08,0.89,0.95,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.22,-1.26,249.82,-0.21,-0.84,0.84,1.21,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.99,-5.91,-215.21,-0.59,0.58,0.96,1.27,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.31,-91.17,222.55,-0.55,-0.03,1.06,1.19,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.07,39.93,-195.63,0.02,-1.09,0.8,1.35,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-13.88,0.59,119.17,-0.22,0.2,0.99,1.03,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
